state,code,website,Self liquidation of VAT by Google
Alabama,AL,http://www.alabama.gov,1
Alaska,AK,http://alaska.gov,3
Armed Forces Pacific,AP,https://www.pacom.mil/,3
Arizona,AZ,https://az.gov,1
Arkansas,AR,http://arkansas.gov,1
California,CA,http://www.ca.gov,1
Colorado,CO,https://www.colorado.gov,1
Connecticut,CT,http://www.ct.gov,1
Delaware,DE,http://delaware.gov,3
Florida,FL,http://www.myflorida.com,1
Georgia,GA,http://georgia.gov,1
Hawaii,HI,https://www.ehawaii.gov,1
Idaho,ID,https://www.idaho.gov,1
Illinois,IL,https://www.illinois.gov,1
Indiana,IN,http://www.in.gov,1
Iowa,IA,https://www.iowa.gov,1
Kansas,KS,https://www.kansas.gov,1
Kentucky,KY,http://kentucky.gov,1
Louisiana,LA,http://louisiana.gov,1
Maine,ME,http://www.maine.gov,1
Maryland,MD,http://www.maryland.gov,1
Massachusetts,MA,http://www.mass.gov,1
Michigan,MI,http://www.michigan.gov,1
Minnesota,MN,https://mn.gov,1
Mississippi,MS,http://www.ms.gov,1
Missouri,MO,https://www.mo.gov,3
Montana,MT,http://mt.gov,3
Nebraska,NE,http://www.nebraska.gov,1
Nevada,NV,http://nv.gov,1
New Hampshire,NH,https://www.nh.gov,3
New Jersey,NJ,http://www.state.nj.us,1
New Mexico,NM,http://www.newmexico.gov,1
New York,NY,http://www.ny.gov,1
North Carolina,NC,http://www.nc.gov,1
North Dakota,ND,http://www.nd.gov,1
Ohio,OH,https://ohio.gov,1
Oklahoma,OK,https://www.ok.gov,1
Oregon,OR,http://www.oregon.gov,3
Pennsylvania,PA,http://www.pa.gov,1
Rhode Island,RI,https://www.ri.gov,1
South Carolina,SC,http://www.sc.gov,1
South Dakota,SD,http://sd.gov,1
Tennessee,TN,https://www.tn.gov,1
Texas,TX,https://www.texas.gov,1
Utah,UT,https://utah.gov,1
Vermont,VT,http://vermont.gov,1
Virginia,VA,https://www.virginia.gov,1
Washington,WA,http://www.wa.gov,1
West Virginia,WV,http://www.wv.gov,1
Wisconsin,WI,https://www.wisconsin.gov,1
Wyoming,WY,http://www.wyo.gov,1
US Armed Forces Europe,AE,https://www.eur.army.mil/,3
Puerto Rico,PR,https://www2.pr.gov,1
District of Columbia,DC,https://dc.gov/,1
